Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
vaqlas,Hyejin / Celine,8,37.5,91,11.38,2.62,53.0,19.25
voider26,Elena / Estelle / LiDailin,8,37.5,91,11.38,2.62,29.25,18.75
えすみす,Alex,4,50.0,46,11.5,2.5,44.75,19.25
MaTfromDota2,Nadine / Sissela / Piolo / Lenox,8,0.0,34,4.25,5.75,38.12,16.12
LORDofVERMILION,Leon / Martina / Jan,8,12.5,31,3.88,5.0,35.25,16.75
HeianKYO,Elena / Alonso / Garnet,4,0.0,15,3.75,6.0,37.0,16.0
TKDNdecoy,Leon / Laura,4,0.0,22,5.5,5.5,31.5,16.75
sukopi,Estelle / Elena,6,0.0,53,8.83,4.5,35.5,17.0
かっと,Chiara / Hisui / Jenny / Rio,8,12.5,71,8.88,4.5,47.62,17.75
駅弁mk,Hyejin / Sua / Zahir / YuMin,4,0.0,23,5.75,3.5,60.5,17.75
鈴木リコリス,Estelle / Lenox / Eleven / Nicky,8,25.0,70,8.75,2.5,26.88,18.12
YoNeaKy,Camilo / Eva / Chloe / Estelle,8,0.0,57,7.12,4.25,48.25,18.25
Sitiyoh,Theodore / Estelle / Arda / Mai / Felix / Martina,8,25.0,42,5.25,3.5,48.5,18.62
ぷれこーーーーる,Darko / William,8,37.5,73,9.12,2.25,53.38,19.25
混沌の闇ヤスオ,Aiden / Jan / Isaac,8,37.5,73,9.12,2.25,47.88,19.25
thato,Lyanh / Hisui,8,12.5,63,7.88,6.0,29.5,16.5
kemiko,Hisui / Charlotte / Echion,8,12.5,78,9.75,4.38,47.5,18.62
べんとりっく,Zahir / Kenneth,4,0.0,33,8.25,6.0,69.5,19.0
レイライン,Elena / Estelle / Alex,8,25.0,95,11.88,4.12,21.5,17.25
ZEKURIP,Rozzi / Katja / Jenny,8,25.0,95,11.88,4.12,44.12,18.5
無双,Hisui / Sua,8,25.0,95,11.88,4.12,49.25,18.5
HYEINSEO,Katja / Cathy,7,0.0,60,8.57,5.86,27.86,16.71
곽성군,Eleven / Zahir / Tia,4,0.0,35,8.75,5.75,38.25,17.25
SEOHYEIN,Aiden,4,0.0,35,8.75,5.75,43.5,18.25
うぇびー,Sua / Felix,4,25.0,30,7.5,3.5,48.25,18.25
さすらいぱんだ,Johann / Silvia,4,25.0,30,7.5,3.5,30.75,17.75
Pororoca,Rio,2,50.0,8,4.0,4.0,68.0,18.0
Pea72,Justyna / Tia,4,25.0,31,7.75,4.5,53.25,17.5
青柳,Aiden,4,25.0,31,7.75,4.5,57.0,17.5
Levia4,Eleven,4,25.0,31,7.75,4.5,14.5,16.25
