Player name,Character Pick,Played Rounds,Win Percent,Total Kills,Avg. Kills,Avg. Rank,Avg Hunting,Avg Weapon Mastery
vaqlas,Hyejin / Celine,4,50.0,46,11.5,2.5,51.25,19.5
voider26,Elena / Estelle / LiDailin,4,50.0,46,11.5,2.5,32.75,19.0
えすみす,Alex,4,50.0,46,11.5,2.5,44.75,19.25
MaTfromDota2,Nadine / Sissela / Piolo,4,0.0,15,3.75,6.0,40.0,17.0
LORDofVERMILION,Leon / Martina,4,0.0,15,3.75,6.0,24.75,15.5
HeianKYO,Elena / Alonso / Garnet,4,0.0,15,3.75,6.0,37.0,16.0
TKDNdecoy,Leon / Laura,4,0.0,22,5.5,5.5,31.5,16.75
sukopi,Estelle / Elena,4,0.0,22,5.5,5.5,37.25,16.25
かっと,Chiara / Hisui / Jenny,4,0.0,22,5.5,5.5,43.25,17.5
駅弁mk,Hyejin / Sua / Zahir / YuMin,4,0.0,23,5.75,3.5,60.5,17.75
鈴木リコリス,Estelle / Lenox / Eleven,4,0.0,23,5.75,3.5,25.5,17.5
YoNeaKy,Camilo / Eva / Chloe,4,0.0,23,5.75,3.5,54.0,18.0
Sitiyoh,Theodore / Estelle / Arda,4,25.0,26,6.5,3.0,49.0,19.0
ぷれこーーーーる,Darko / William,4,25.0,26,6.5,3.0,45.25,19.0
混沌の闇ヤスオ,Aiden / Jan,4,25.0,26,6.5,3.0,54.25,19.25
thato,Lyanh,4,0.0,33,8.25,6.0,36.25,17.75
kemiko,Hisui / Charlotte,4,0.0,33,8.25,6.0,35.5,18.0
べんとりっく,Zahir / Kenneth,4,0.0,33,8.25,6.0,69.5,19.0
レイライン,Elena / Estelle,4,25.0,56,14.0,3.75,16.75,18.25
ZEKURIP,Rozzi / Katja,4,25.0,56,14.0,3.75,45.0,19.5
無双,Hisui / Sua,4,25.0,56,14.0,3.75,60.5,19.75
HYEINSEO,Katja / Cathy,4,0.0,35,8.75,5.75,26.5,18.0
곽성군,Eleven / Zahir / Tia,4,0.0,35,8.75,5.75,38.25,17.25
SEOHYEIN,Aiden,4,0.0,35,8.75,5.75,43.5,18.25
うぇびー,Sua / Felix,4,25.0,30,7.5,3.5,48.25,18.25
さすらいぱんだ,Johann / Silvia,4,25.0,30,7.5,3.5,30.75,17.75
Pororoca,Rio,2,50.0,8,4.0,4.0,68.0,18.0
Pea72,Justyna / Tia,4,25.0,31,7.75,4.5,53.25,17.5
青柳,Aiden,4,25.0,31,7.75,4.5,57.0,17.5
Levia4,Eleven,4,25.0,31,7.75,4.5,14.5,16.25
レイ様,Estelle / Eleven,4,0.0,15,3.75,5.0,18.75,17.0
お豆腐の匠,Theodore,4,0.0,15,3.75,5.0,51.75,18.0
10p,Sua / Katja,4,0.0,15,3.75,5.0,47.25,18.25
冷害,Elena,4,25.0,35,8.75,3.25,36.0,17.5
レヴナ,Darko,4,25.0,35,8.75,3.25,34.75,17.5
CiELzzz,Hart,4,25.0,35,8.75,3.25,51.75,19.0
poppoppoo,Karla / Laura / Adina / Celine,4,0.0,10,2.5,5.25,33.25,16.5
Pommmmm,Lenox / Hisui / Katja / Mai,4,0.0,10,2.5,5.25,27.75,15.75
yasakaF,Leon / Estelle / Jan,4,0.0,10,2.5,5.25,27.25,16.5
OISIIPROTEIN,Chiara,4,25.0,33,8.25,4.0,45.5,18.75
Dorago,Bernice,4,25.0,33,8.25,4.0,77.75,19.5
うぃくらいん,Johann,4,25.0,33,8.25,4.0,21.75,17.75
catsR,Irem,4,0.0,18,4.5,5.5,58.5,18.75
kirisamefirst,Sissela,4,0.0,18,4.5,5.5,44.25,19.25
taiga7810,Markus,4,0.0,18,4.5,5.5,22.5,17.75
Natupon,Nathapon / Leni,4,0.0,36,9.0,5.0,28.0,16.75
Sharp3,Jan,4,0.0,36,9.0,5.0,30.25,17.25
LeetPhilia,Bernice / Rozzi,4,0.0,36,9.0,5.0,46.75,17.25
yasuoぼっと,Mai,2,0.0,22,11.0,3.0,34.5,19.0
